textos,labels
"La definición de privación está basada en el marco de los derechos de la niñez, utilizando la Convención sobre los Derechos del Niño como fuente principal para seleccionar dimensiones relevantes para el bienestar infantil. Los niños menores de dieciocho años representan más de la mitad (52 %) de la población total de la región. Los hallazgos muestran que el 67 % de todos los niños en los treinta países experimentan al menos dos de cinco privaciones críticas para su supervivencia y desarrollo. Este porcentaje representa a 247 millones de un total de 368 millones de niños en esos 30 países.",1
"La mayoría de los programas de protección social en Ghana aspiran a ser universales en su cobertura, en consonancia con la garantía de igualdad de oportunidades para todos. Por ejemplo, el subsidio de capitación y los programas de entrega gratuita de libros de ejercicios buscan llegar a todos los niños que asisten a escuelas públicas, mientras que las exenciones bajo el Esquema Nacional de Seguro de Salud (NHIS) deberían cubrir a todos los niños menores de 18 años, a todas las personas mayores de 70 años y a todas las mujeres embarazadas, independientemente de su estatus socioeconómico.",1
Esto es dos veces y media mayor que la participación correspondiente de las economías desarrolladas de la región. Un valor del índice superior a uno indica que el volumen de exportación del país hacia ese destino es mayor que el promedio mundial. El país tendría entonces una relación comercial de exportación más intensa con ese socio que el resto del mundo.,1
"El enfoque aquí está en los aspectos de la pobreza que reflejan situaciones de violación de los derechos humanos, lo que se basa en la proposición de que la pobreza es una negación de los derechos humanos. La falta de acceso a los alimentos impide que los pobres se liberen del hambre. La vulnerabilidad a los despidos sin protección social los somete a inseguridad de ingresos. La discriminación experimentada en la vida social y política les priva de su dignidad.",1
"El factor educativo representa una mayor contribución a la pobreza total en Uruguay (49,9 %) y en Costa Rica (37,6 %). La contribución de la asistencia escolar entre niños y adolescentes es mucho menor. No parecen existir diferencias sustanciales en la contribución del ingreso a la pobreza total en función de la tasa de pobreza de los países.",1
"Se introdujo un nuevo objetivo, relacionado con “Lograr empleo pleno y productivo y trabajo decente para todos, incluidas mujeres y jóvenes”. Para ese propósito se definieron cuatro indicadores oficiales, que implican medir la tasa de crecimiento de la productividad por trabajador, el porcentaje de la población empleada, el porcentaje de trabajadores en extrema pobreza y la proporción de trabajadores con empleos inestables e inseguros (“trabajadores vulnerables”). Además, se hizo explícita la recomendación de monitorear las tendencias de pobreza utilizando las líneas nacionales de pobreza. El indicador anterior fue reemplazado por uno que mide la supervivencia hasta el último grado de la educación primaria (proporción de alumnos que comienzan primer grado y llegan al último grado de primaria).",1
"Este es un aspecto clave de las aspiraciones de la Agenda 2030 de “no dejar a nadie atrás”. Con frecuencia, la desagregación implica el diseño de encuestas que permitan la recolección y el análisis de datos sobre edad, sexo, nivel educativo, ocupación y lugar de residencia. La desagregación por situación laboral y de salud, y por etnia, también puede ser de gran importancia.",1
Las estimaciones de pobreza y privación multidimensional son herramientas nuevas e importantes en esta labor. Este documento revisa los aportes de varias investigaciones sobre pobreza y privación multidimensional y los combina en un marco internamente coherente. El marco añade un elemento importante al enfatizar que las personas pueden experimentar varios tipos y formas de pobreza y privación simultáneamente. La experiencia de la pobreza es a menudo multifacética y las privaciones están interrelacionadas en muchos casos.,1
"La mayoría de los indicadores incluidos en la medida de pobreza propuesta ya son considerados “indicadores centrales” en los informes oficiales de Alemania sobre pobreza y riqueza (por ejemplo, Bundesregierung, 2013). Estos indicadores fueron seleccionados en base a asesoramiento académico (Arndt y Volkert, 2007). El índice de pobreza se calcula para tres puntos en el tiempo (2001-2012) y comprende seis dimensiones: educación, salud, vivienda, empleo, privación material y participación social.",1
"Esto requiere incluir el cuidado en el análisis económico (el cuidado como “la sombra del trabajo”), entender su relación con la opresión de género y reconocer su valor como una actividad significativa y una responsabilidad ciudadana. El cuidado como eje de políticas y de actores en América Latina, Seminarios y Conferencias, serie. Solo por establecer un límite de edad, no cabe duda de que más allá de los 80 años la fragilidad es alta, la independencia es inconsistente y existe riesgo de pérdida funcional.",1
