textos,labels
La pobreza extrema afecta a zonas rurales olvidadas.,1
Hace falta inversión en salud mental.,3
La pobreza extrema afecta a zonas rurales.,1
Se necesitan más médicos en zonas apartadas.,3
En mi vereda muchos hogares viven del rebusque y no alcanza para el mercado.,1
Los precios suben y el salario mínimo no rinde para cubrir lo básico.,1
Faltan programas que ayuden a conseguir empleo a madres cabeza de hogar.,1
Hay familias que deben escoger entre pagar arriendo o comer bien.,1
En los pueblos pequeños casi no hay oportunidades laborales formales.,1
La gente en zonas rurales sigue sin acceso a servicios públicos estables.,1
En el puesto de salud no hay suficientes médicos para atender a todos.,3
La EPS se demora meses en autorizar citas con especialistas.,3
Hace falta atención en salud mental para jóvenes y adultos mayores.,3
Las jornadas de vacunación no llegan a veredas alejadas.,3
Los hospitales necesitan más insumos y personal en urgencias.,3
El traslado de pacientes desde zonas apartadas es muy demorado.,3
En colegios rurales faltan docentes y materiales básicos.,4
Los estudiantes necesitan mejores rutas escolares para no desertar.,4
Hace falta formación técnica que conecte con el empleo local.,4
Las aulas están en mal estado y no hay acceso a internet.,4
Se necesitan más programas de becas para educación superior.,4
La calidad en lectura y matemáticas debe fortalecerse desde primaria.,4
Se requieren más profesionales de salud en municipios.,3
